experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The cat_2 images depict people walking dogs outdoors, while the cat_1 images show people interacting with dogs in close proximity, such as holding, petting, or bathing them. The test image shows a dog outdoors but not being walked by a person.\nRule: The presence of a person walking a dog outdoors.\nTest Image: A dog outdoors wearing a bandana.\nConclusion: cat_1']
68 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images show people interacting with bananas in a playful or non-consumptive manner, such as holding, showing, or pretending to eat them. The cat_1 images depict people actually eating the bananas. The test image shows a person pretending to eat a banana in a humorous way.\nRule: The distinguishing rule is whether the person is actually eating the banana or interacting with it in a non-consumptive way.\nTest Image: A man pretending to eat a banana in a humorous way.\nConclusion: cat_2']
69 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images all feature people interacting with bananas in a playful or humorous manner, while the cat_1 images show people eating bananas in a straightforward way or bananas without people. The test image shows a person standing on a rock in a mountainous area with no bananas present.\nRule: The presence of playful or humorous interaction with bananas.\nTest Image: A person standing on a rock in a mountainous area.\nConclusion: cat_1']
70 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all depict individuals actively cleaning or maintaining a toilet, while the cat_1 images show people interacting with toilets in other ways, such as using them, repairing them, or being near them without cleaning.\nRule: The images in cat_2 involve the act of cleaning a toilet.\nTest Image: A person wearing gloves and cleaning a toilet.\nConclusion: cat_2']
71 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images all depict individuals actively cleaning or maintaining a toilet, while the cat_1 images show people using the toilet in various ways that are not related to cleaning or maintenance. The test image shows a toilet with a trash bin nearby and a pair of sandals, but no one is actively cleaning or maintaining it.\nRule: The image must show an individual actively cleaning or maintaining a toilet.\nTest Image: A toilet with a trash bin and sandals, no one cleaning or maintaining it.\nConclusion: cat_1']
72 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The cat_2 images depict scenarios where multiple motorcycles or riders are present, often in a group or a public setting, suggesting a communal or event-based context. In contrast, the cat_1 images primarily show individual riders or motorcycles, often in isolated or personal settings, such as a single rider on a track or a person washing a motorcycle.\nRule: The presence of multiple motorcycles or riders in a communal or event-based context.\nTest Image: A single rider on a racing motorcycle at a drag racing event.\nConclusion: cat_1']
73 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The cat_2 images depict scenarios where multiple motorcycles or riders are present, indicating a group activity or event. In contrast, the cat_1 images show a single motorcycle or rider, focusing on individual action or performance.\nRule: The presence of multiple motorcycles or riders in a group setting.\nTest Image: A single motorcycle rider on a road.\nConclusion: cat_1']
74 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all depict individuals actively performing a skateboarding trick or maneuver, while the cat_1 images show individuals either sitting, holding, or not actively using a skateboard.\nRule: The distinguishing rule is that cat_2 images show individuals actively performing a skateboarding trick, whereas cat_1 images do not.\nTest Image: The test image shows an individual performing a skateboarding trick on a ramp.\nConclusion: cat_2']
75 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images depict individuals actively performing skateboarding tricks or movements, while the cat_1 images show individuals either sitting, holding, or not actively using skateboards.\nRule: The distinguishing rule is that cat_2 images feature active skateboarding tricks or movements.\nTest Image: The test image shows a person sitting on the ground with a skateboard beside them, not actively performing a trick.\nConclusion: cat_1']
76 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images depict adults using laptops in various settings, such as dining areas, offices, and outdoor spaces, often accompanied by food, drinks, or other objects. The cat_1 images show children using laptops, laptops being repaired, or laptops with stickers, indicating a different context and purpose for the use of laptops.\nRule: The images in cat_2 feature adults using laptops in everyday settings, while cat_1 images do not follow this pattern, showing children, repair activities, or laptops with stickers.\nTest Image: Two adults are using laptops at a dining table in a home setting.\nConclusion: cat_2']
77 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The cat_2 images depict adults using laptops in various settings, such as dining, working, and online transactions. The cat_1 images show children using laptops, laptops being repaired, or laptops with stickers, indicating a different context or purpose. The test image shows two adults using laptops, which aligns with the context of cat_2 images.\nRule: The images in cat_2 feature adults using laptops in a functional context, while cat_1 images do not follow this context, either by showing children, repair, or non-functional use.\nTest Image: Two adults are using laptops in a collaborative setting.\nConclusion: cat_2']
78 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images depict motorcycles in stationary or non-competitive settings, with riders either posing or interacting with the bikes in a casual or social context. The cat_1 images show motorcycles in motion, either racing, performing stunts, or in a competitive environment. The test image shows a busy street scene with many motorcycles, but they are not in motion and appear to be in a stationary or slow-moving traffic situation.\nRule: The distinguishing rule is whether the motorcycles are in a stationary or non-competitive setting (cat_2) versus in motion or a competitive setting (cat_1).\nTest Image: The test image shows a busy street with motorcycles in a stationary or slow-moving traffic situation.\nConclusion: cat_2']
79 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The cat_2 images depict individuals on motorcycles in stationary or casual settings, while the cat_1 images show motorcycles in motion, either racing or performing stunts. The test image shows a person on a stationary scooter, which aligns with the stationary or casual setting of cat_2 images.\nRule: The distinguishing rule is whether the motorcycle is stationary or in a casual setting (cat_2) versus in motion, racing, or performing stunts (cat_1).\nTest Image: A person on a stationary scooter in a casual setting.\nConclusion: cat_2']
80 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The `cat_2` images feature individuals in casual or non-competitive settings, often with a focus on social interaction or leisure activities. The `cat_1` images, on the other hand, depict individuals in competitive sports scenarios, such as soccer, tennis, and basketball, where the focus is on athletic performance. The test image shows a group of people in a casual indoor setting, engaging in what appears to be a social interaction, similar to the `cat_2` images.\nRule: The distinguishing rule is whether the image depicts a competitive sports scenario or a casual, non-competitive social setting.\nTest Image: The test image shows a group of people in a casual indoor setting, engaging in a social interaction.\nConclusion: cat_2']
