experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ["Analysis: The images in cat_2 show people walking dogs on leashes, typically in an outdoor street setting. The dogs are generally at arm's length or further away from the person. The images in cat_1 show people holding or closely interacting with dogs, often in a more intimate or caring manner (e.g., cuddling, bathing).\nRule: Cat_2 images depict people walking dogs on leashes at a distance, while cat_1 images depict people closely holding or interacting with dogs.\nTest Image: The test image shows a dog sitting and looking at the camera, with a person partially visible in the background. The dog is not on a leash and is not being walked.\nConclusion: cat_1"]'
69 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 show people holding bananas, but not eating them. The images in cat_1 show people eating bananas.\nRule: The distinguishing rule is whether the person in the image is eating a banana or just holding it.\nTest Image: The test image shows a person standing on a rock with arms outstretched, not holding or eating a banana.\nConclusion: cat_1']'
70 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 depict people cleaning a toilet, typically with gloves and cleaning tools. The images in cat_1 show people using or working on the toilet, but not actively cleaning it.\nRule: Cat_2 images show someone actively cleaning the toilet. Cat_1 images show someone using, repairing, or otherwise interacting with the toilet without cleaning.\nTest Image: The test image shows a person with gloves cleaning the inside of a toilet with a sponge.\nConclusion: cat_2']'
71 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 depict people cleaning a toilet, often wearing gloves and using cleaning tools. The images in cat_1 show people interacting with the toilet in ways other than cleaning – using it, repairing it, or simply being near it without cleaning.\nRule: The images in cat_2 show someone actively cleaning a toilet.\nTest Image: The test image shows a toilet with feet visible below, and a trash can nearby. No one is actively cleaning the toilet.\nConclusion: cat_1']'
72 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The images in cat_2 show motorcycles in a traffic or parade-like setting, often with many other motorcycles present and riders generally upright or waving. The images in cat_1 show motorcycles in racing or stunt situations, often leaning heavily or airborne, and typically with fewer motorcycles in the frame.\nRule: Cat_2 images depict motorcycles in non-racing, generally upright, traffic or parade situations. Cat_1 images depict motorcycles in racing or stunt situations, often leaning or airborne.\nTest Image: The test image shows a motorcycle accelerating on a racetrack, leaning significantly into a turn.\nConclusion: cat_1']'
73 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 show motorcycles in a traffic or parade-like setting, often with many other motorcycles present and riders generally upright. The images in cat_1 show motorcycles in racing or stunt situations, often leaning or airborne, and typically with fewer motorcycles in the frame.\nRule: Cat_2 images depict motorcycles in normal traffic or parade situations, while cat_1 images depict motorcycles in racing or stunt situations.\nTest Image: The test image shows a motorcycle rider airborne, performing a stunt.\nConclusion: cat_1']'
74 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 depict people performing tricks *on* a skateboard while in the air. The images in cat_1 depict people holding or posing with a skateboard, but not actively performing a trick in mid-air.\nRule: Cat_2 images show a person actively performing a trick *on* a skateboard while airborne. Cat_1 images show a person holding or posing with a skateboard, not actively performing a trick in the air.\nTest Image: The test image shows a person performing a trick on a skateboard while airborne.\nConclusion: cat_2']'
75 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 depict people performing tricks *on* a skateboard, in mid-air. The images in cat_1 depict people *with* a skateboard, but not actively performing a trick or riding it. They are either holding it, sitting with it, or standing near it without actively using it for skating.\nRule: Cat_2 images show a person actively performing a trick on a skateboard (in the air). Cat_1 images show a person with a skateboard but not actively performing a trick.\nTest Image: The test image shows a person sitting and using a phone with a skateboard next to them. They are not performing a trick or actively riding the skateboard.\nConclusion: cat_1']'
76 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The images in cat_2 show people using laptops while also having food present in the scene. The images in cat_1 show people using laptops without any visible food.\nRule: The presence of food in the same scene as a person using a laptop.\nTest Image: The test image shows two people using laptops, and there is no visible food in the scene.\nConclusion: cat_1']'
77 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict adults using laptops while having food or drinks nearby. The `cat_1` images show children using laptops, or laptops being disassembled/repaired.\nRule: The images in `cat_2` show adults using laptops with food/drinks present, while `cat_1` images show children using laptops or laptops being disassembled/repaired.\nTest Image: The test image shows two adults looking at laptops, one of which is disassembled.\nConclusion: cat_1']'
78 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images depict a single person on a motorcycle, often posed or in a static position. The `cat_1` images show multiple motorcycles and riders, typically in a dynamic racing or competition setting.\nRule: The number of motorcycles and riders in the image. `cat_2` has one motorcycle and one rider, while `cat_1` has multiple motorcycles and riders.\nTest Image: The test image shows a large group of motorcycles and people crossing a street.\nConclusion: cat_1']'
79 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The images in cat_2 show people casually sitting or standing with motorcycles, often in a static pose. The images in cat_1 show people actively racing or performing stunts on motorcycles, often in motion.\nRule: Cat_2 images depict people with motorcycles in a non-racing/stunt context, while cat_1 images depict people actively racing or performing stunts on motorcycles.\nTest Image: The test image shows a woman casually sitting on a scooter.\nConclusion: cat_2']'
80 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 all feature people indoors, while the images in cat_1 all feature people outdoors.\nRule: The distinguishing rule is whether the image is taken indoors or outdoors.\nTest Image: The test image shows people indoors.\nConclusion: cat_2']'
81 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The images in cat_2 all feature multiple people in the frame, with at least one person prominently looking towards the camera. The images in cat_1 feature individuals engaged in sports activities, often with a focus on the action rather than direct eye contact with the viewer.\nRule: The presence of multiple people in the frame, with at least one person looking towards the camera.\nTest Image: The test image shows two boys playing soccer on a field, with one looking towards the camera and the other looking at the ball.\nConclusion: cat_2']'
82 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 depict people playing soccer in sports attire (shorts, jerseys, socks). The images in cat_1 depict people in non-sports attire (suits, casual clothes) or in situations that are not typical soccer gameplay.\nRule: The images in cat_2 show people actively playing soccer in typical soccer attire.\nTest Image: The test image shows a person in soccer attire kicking a soccer ball on a grass field.\nConclusion: cat_2']'
83 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 depict people playing soccer (football) in athletic wear on a grass field. The images in cat_1 depict people in various settings and attire, not actively playing soccer. Some images show people with a football, or in formal wear, or in indoor settings.\nRule: The images in cat_2 show people playing soccer on a grass field.\nTest Image: The test image shows a football player throwing a football during a game.\nConclusion: cat_1']'
