experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature people walking dogs. The `cat_1` images do not have this common element.\nRule: Images showing people walking dogs.\nTest Image: The test image shows a dog sitting and looking at the camera. It does not depict a person walking a dog.\nConclusion: cat_1']'
92 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people skateboarding or performing skateboarding tricks. The cat_1 images do not depict skateboarding or related activities.\nRule: Images depicting skateboarding or skateboarding tricks.\nTest Image: The test image shows a person skateboarding.\nConclusion: cat_2']'
93 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show people skateboarding or performing skateboarding tricks. The cat_1 images do not depict skateboarding or related activities.\nRule: Images depicting skateboarding or skateboarding tricks.\nTest Image: The test image shows a child holding a skateboard.\nConclusion: cat_1']'
94 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people using laptops. The `cat_1` images do not show people using laptops.\nRule: Images showing people using laptops.\nTest Image: A hand typing on a laptop.\nConclusion: cat_2']'
95 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people using laptops. All the cat_1 images do not show people using laptops.\nRule: People using laptops.\nTest Image: A person is using a laptop on a couch.\nConclusion: cat_2']'
96 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people using laptops or computers. The images depict various scenarios involving work, learning, or online activities on laptops.\nRule: Images featuring people using laptops or computers.\nTest Image: A woman is using a laptop.\nConclusion: cat_2']'
97 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict people using laptops, primarily in settings related to work, school, or technology. They often show children or adults engaged in computer-related activities. The `cat_1` images show a variety of unrelated scenes, including people with children, and general activities.\nRule: Images featuring people actively using laptops in work, school, or technology-related settings.\nTest Image: A man is repairing a laptop with a screwdriver.\nConclusion: cat_1']'
98 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show couples kissing or embracing. The cat_1 images show various other scenarios, including people in classrooms, zoos, and general public settings.\nRule: Images depicting couples kissing or embracing.\nTest Image: The test image shows a couple kissing.\nConclusion: cat_2']'
99 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict couples or individuals engaged in kissing or close embraces. The `cat_1` images show various groups of people, often with children, engaged in different activities like shopping, observing animals, or studying.\nRule: Images showing couples or individuals in intimate embraces.\nTest Image: A couple embracing.\nConclusion: cat_2']'
100 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict people riding motorcycles on a track or road. The `cat_1` images show motorcycles in various other contexts, such as parked, in a group, or in off-road settings.\nRule: Images of people riding motorcycles on a track or road.\nTest Image: A person riding a motorcycle on a dirt road.\nConclusion: cat_1']'
101 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people riding motorcycles. The cat_1 images do not show people riding motorcycles.\nRule: Images showing people riding motorcycles.\nTest Image: A man is riding a motorcycle.\nConclusion: cat_2']'
102 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The first six images show people interacting with dogs, specifically kissing or holding them. The remaining six images show people interacting with other animals, such as horses or other pets, but not dogs.\nRule: Images showing people kissing or holding dogs.\nTest Image: The test image shows a woman kissing a dog.\nConclusion: cat_2']'
103 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show people (adults and children) interacting affectionately with dogs, often involving physical contact like hugging, kissing, or holding. The dogs are generally happy and engaged in the interaction.\nRule: Images depicting affectionate interactions between humans and dogs.\nTest Image: The test image shows a man walking a dog on a leash. There is no affectionate interaction between the man and the dog.\nConclusion: cat_1']'
104 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people interacting with dogs, specifically petting or holding them. The images depict a close relationship between humans and dogs. The cat_1 images do not show this interaction.\nRule: Images showing people interacting with dogs (petting, holding, etc.).\nTest Image: The test image shows a puppy being held by a hand.\nConclusion: cat_2']'
105 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show a person interacting with a dog, typically with the person touching or petting the dog. The images depict close interactions between humans and dogs.\nRule: Images showing a person interacting with a dog, with the person touching or petting the dog.\nTest Image: A person is walking a dog. There is no interaction between the person and the dog in the image.\nConclusion: cat_1']'
106 | expected:'cat_2' | got='cat_1 | full: ['Analysis: All the cat_2 images show people skateboarding or performing skateboarding tricks. The cat_1 images show people doing other activities, such as walking, standing, or other sports.\nRule: Images depicting skateboarding or skateboarding tricks.\nTest Image: The test image shows a person riding a longboard on a walkway.\nConclusion: cat_1']'
107 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show people skateboarding. The cat_1 images do not show skateboarding.\nRule: Images showing people skateboarding.\nTest Image: The test image shows a woman standing with a skateboard. It does not show skateboarding.\nConclusion: cat_1']'
108 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict couples or people embracing, showing affection and closeness. The `cat_1` images show various scenarios, including professional events, work, and individual activities, lacking the element of romantic connection.\nRule: Images depicting couples or people embracing, conveying affection and closeness.\nTest Image: The test image shows two people embracing.\nConclusion: cat_2']'
109 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict close embraces or affectionate interactions between two people, often with a romantic or familial context. The focus is on physical closeness and emotional connection. The `cat_1` images show various interactions, including formal handshakes, military interactions, and general interactions without the same level of intimacy.\nRule: Images showing close embraces or affectionate interactions between two people.\nTest Image: The test image shows a handshake between an older woman and a young boy.\nConclusion: cat_1']'
110 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images feature a person holding a knife or a sharp object. The cat_1 images do not have this element.\nRule: Images containing a person holding a knife or sharp object.\nTest Image: The test image shows a woman holding a knife.\nConclusion: cat_2']'
111 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images feature a person holding a knife and cutting something (cake, cake decoration, etc.). The cat_1 images do not have this element.\nRule: People holding knives and cutting something.\nTest Image: A man is holding a knife and cutting a cake.\nConclusion: cat_2']'
112 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show a person holding a banana in front of their face, often with a playful or surprised expression. The cat_1 images do not show this behavior.\nRule: People holding a banana in front of their face.\nTest Image: A person is holding a banana in front of their face.\nConclusion: cat_2']'
113 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people holding a banana in front of their faces. The cat_1 images do not show this.\nRule: People holding a banana in front of their faces.\nTest Image: A person is holding a banana in front of their face.\nConclusion: cat_2']'
114 | expected:'cat_2' | got='cat_2 | full: ["Analysis: The cat_2 images all show dogs being petted or handled in a way that emphasizes their ears or backs, often with people leaning over them or touching them. The dogs are generally relaxed and lying down or in a comfortable position. The cat_1 images show dogs in various activities, but they don't consistently involve close physical interaction with people focusing on their ears or backs.\n\nRule: Dogs being petted or handled in a way that emphasizes their ears or backs, often with people leaning over them or touching them.\n\nTest Image: The test image shows a dog lying on a floor with people petting its back and ears.\n\nConclusion: cat_2"]'
