experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1' | full: ['1. Rule: The cat_2 images show dogs being walked on leashes by people, while the cat_1 images show dogs being held or petted by people.\n2. Analysis: The test image shows a dog wearing a bow tie, which is not a leash, and the dog is not being walked by a person. The dog appears to be sitting on a surface, possibly a couch or a chair, and is being held by a person.\n3. Conclusion: cat_1']
58 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images show people sitting at tables with food and drinks, while the cat_1 images show people sitting at tables without food or drinks. The cat_2 images have a casual dining atmosphere, while the cat_1 images have a more formal or business-like atmosphere.\nRule: The distinguishing rule is the presence of food and drinks on the table.\nTest Image: A woman is sitting at a table with a plate of food and a drink in front of her.\nConclusion: cat_2']
59 | expected:'cat_1' | got='cat_2' | full: [' Analysis: cat_2 images show people sitting at tables with food or drinks, while cat_1 images show people in various settings without food or drinks. \nRule: people sitting at tables with food or drinks\nTest Image: people sitting at a table with food and drinks\nConclusion: cat_2']
60 | expected:'cat_2' | got='cat_1' | full: ['1. Rule: The cat_2 images show people in school uniforms, while the cat_1 images show people in casual or sports attire.\n2. Analysis: The test image shows a person in a tennis outfit, which is not a school uniform.\n3. Conclusion: cat_1']
61 | expected:'cat_1' | got='cat_1' | full: ['1. Rule: The cat_2 images show people in school uniforms, while the cat_1 images show people in sports uniforms.\n2. Analysis: The test image shows a group of people in sports uniforms playing soccer on a field.\n3. Conclusion: cat_1']
62 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 images show an adult using a laptop, while cat_1 images show children or adults with children using a laptop. The test image shows two adults using laptops, which aligns with the cat_2 category.\n\nRule: The distinguishing rule is that cat_2 images show an adult using a laptop, while cat_1 images show children or adults with children using a laptop.\n\nTest Image: Two adults are sitting at a table, each using a laptop.\n\nConclusion: cat_2']
63 | expected:'cat_1' | got='cat_2' | full: [' Analysis: All cat_2 images show an adult using a laptop, while cat_1 images show children or adults with children using a laptop. The test image shows an adult using a laptop, which aligns with the cat_2 category.\n\nRule: The distinguishing rule is that cat_2 images show an adult using a laptop, while cat_1 images show children or adults with children using a laptop.\n\nTest Image: An adult is sitting on a couch with a laptop on their lap, and a dog is lying next to them.\n\nConclusion: cat_2']
64 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 images show a person kissing a dog, while cat_1 images show a person holding a dog without kissing it.\nRule: A person kissing a dog\nTest Image: A woman is kissing a small dog on the cheek while sitting on a couch.\nConclusion: cat_2']
65 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 images show a person kissing a dog, while cat_1 images show a person holding a dog without kissing it. \nRule: The distinguishing rule is that cat_2 images show a person kissing a dog, while cat_1 images show a person holding a dog without kissing it. \nTest Image: A person is holding a dog without kissing it. \nConclusion: cat_1']
66 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 images show people eating a banana, while cat_1 images show people holding a banana but not eating it. The cat_2 images have a clear action of consumption, while the cat_1 images have a static pose with the banana.\nRule: People eating a banana\nTest Image: A young girl is eating a banana with a bite taken out of it.\nConclusion: cat_2']
67 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 images show people eating a banana, while cat_1 images show people holding a banana but not eating it. The cat_2 images have a clear action of consumption, while cat_1 images have a static pose with the banana.\nRule: The distinguishing rule is that cat_2 images show people eating a banana, while cat_1 images show people holding a banana but not eating it.\nTest Image: A woman is holding a bunch of bananas, not eating them.\nConclusion: cat_1']
68 | expected:'cat_2' | got='cat_2' | full: ['1. The rule is that cat_2 images show people holding a banana in a way that suggests they are about to eat it, while cat_1 images show people eating a banana.\n2. The test image shows a person holding a banana in a way that suggests they are about to eat it.\n3. Conclusion: cat_2']
69 | expected:'cat_1' | got='cat_1' | full: ['1. The rule is that cat_2 images show people holding a banana in a way that suggests they are about to eat it, while cat_1 images show people holding a banana in a way that suggests they are not about to eat it.\n2. The test image shows a person standing on a rock with their arms outstretched, wearing an orange jacket and black pants, with a mountainous landscape in the background.\n3. The test image does not show a person holding a banana in a way that suggests they are about to eat it. Therefore, the conclusion is:\n\nConclusion: cat_1']
70 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 images show a person cleaning a toilet, while cat_1 images show a person using a toilet or not cleaning it. \nRule: The distinguishing rule is that cat_2 images show a person cleaning a toilet, while cat_1 images show a person using a toilet or not cleaning it. \nTest Image: A person is cleaning a toilet with a brush and wearing gloves. \nConclusion: cat_2']
71 | expected:'cat_1' | got='cat_2' | full: [' Analysis: All cat_2 images show a person cleaning a toilet, while cat_1 images show a person using a toilet or not cleaning it. \nRule: The rule is that cat_2 images show a person cleaning a toilet, while cat_1 images show a person using a toilet or not cleaning it. \nTest Image: A person is standing next to an open toilet with a cleaning brush in hand. \nConclusion: cat_2']
72 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 images show motorcycles in motion, either racing, performing stunts, or being ridden by people in racing gear. The motorcycles are often in the foreground, and the riders are actively engaged in the activity. The images have a sense of speed and action. Cat_1 images show motorcycles in a stationary or non-racing context, such as being washed, parked, or ridden by people in casual attire. The motorcycles are often in the background, and the riders are not actively engaged in the activity. The images have a sense of stillness and calmness.\n\nRule: The distinguishing rule is that cat_2 images show motorcycles in motion, either racing, performing stunts, or being ridden by people in racing gear, while cat_1 images show motorcycles in a stationary or non-racing context.\n\nTest Image: A motorcycle is in motion, with a rider in racing gear, and the motorcycle is participating in a racing event. The rider is leaning into a turn, and the motorcycle is in the foreground, indicating that the rider is actively engaged in the activity.\n\nConclusion: cat_2']
73 | expected:'cat_1' | got='cat_2' | full: ['1. Rule: The cat_2 images show motorcycles in a racing or competitive context, while the cat_1 images show motorcycles in a non-competitive context, such as maintenance or leisure.\n2. Analysis: The test image shows a motorcycle rider in a racing suit, leaning into a turn on a track, which suggests a competitive racing context.\n3. Conclusion: cat_2']
