experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images show people walking dogs on leashes in various outdoor settings. The cat_1 images depict people holding or interacting with dogs in close proximity, often indoors or in more intimate settings.\n\nRule: The distinguishing rule is whether the dogs are on leashes and being walked outdoors (cat_2) or being held or closely interacted with, often indoors (cat_1).\n\nTest Image: The test image shows a corgi sitting on a paved path, wearing a bandana, with people walking in the background.\n\nConclusion: cat_2']
85 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The cat_2 images depict people watching television or using a remote control, while the cat_1 images show people in various settings not related to watching television or using a remote control.\nRule: The distinguishing rule is whether the image shows people watching television or using a remote control.\nTest Image: The test image shows a group of people watching a television screen displaying a debate.\nConclusion: cat_2']
86 | expected:'cat_2' | got='None' | full: ['']
87 | expected:'cat_1' | got='None' | full: ['']
88 | expected:'cat_2' | got='None' | full: ['']
89 | expected:'cat_1' | got='None' | full: ['']
90 | expected:'cat_2' | got='cat_1' | full: ['Analysis: The cat_2 images depict people in social settings, often with drinks or food, and appear to be in casual or semi-formal gatherings. The cat_1 images also show people in social settings but with a focus on more formal or specific activities, such as a man drinking from a glass, a chef pouring a drink, and a man working on a laptop.\n\nRule: Cat_2 images feature people in casual or semi-formal social gatherings, while cat_1 images focus on specific activities or more formal settings.\n\nTest Image: The test image shows a man with a beard wearing headphones and working on a laptop in a casual setting with plants in the background.\n\nConclusion: cat_1']
91 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The cat_2 images depict people in social settings, often with drinks or food, and appear to be in casual or semi-formal environments. The cat_1 images also show people in social settings but seem to focus more on individuals or small groups in more relaxed or informal environments, often with drinks.\n\nRule: The distinguishing rule is the setting and the number of people visible. Cat_2 images show more formal or semi-formal gatherings with multiple people, while cat_1 images show more casual or informal settings with fewer people.\n\nTest Image: The test image shows a person with a laptop and headphones, sitting at a table with a cup, in a casual setting with plants in the background.\n\nConclusion: cat_1']
92 | expected:'cat_2' | got='None' | full: ['']
93 | expected:'cat_1' | got='None' | full: ['']
94 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images show individuals using laptops in various settings, including indoor and outdoor environments, with a focus on the activity of using the laptop. The cat_1 images also show individuals using laptops but are characterized by a more relaxed or casual posture, often involving additional elements like pets or casual clothing.\n\nRule: The distinguishing rule is the posture and context of laptop use. Cat_2 images depict a more focused or work-related use of laptops, while cat_1 images show a more relaxed or casual use.\n\nTest Image: The test image shows a person typing on a laptop with a focus on the hands and keyboard, suggesting a work-related or focused activity.\n\nConclusion: cat_2']
95 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The cat_2 images show people using laptops in various settings, including sitting on couches, chairs, and at tables, often in casual or home environments. The cat_1 images also show people using laptops but in different contexts, such as sitting on the floor, lying on a couch, or in more relaxed or unconventional positions. The distinguishing factor seems to be the setting and posture of the individuals using the laptops.\n\nRule: Cat_2 images depict people using laptops in more traditional or upright seating positions, while cat_1 images show people in more relaxed or unconventional positions.\n\nTest Image: The test image shows a person lying on a couch using a laptop.\n\nConclusion: cat_1']
96 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images show people using laptops in various settings, including with children, in a classroom, and in a home environment. The cat_1 images show people using laptops in more formal or professional settings, such as offices or workspaces. The test image shows a woman using a laptop in a casual setting, possibly a home or a relaxed office environment.\n\nRule: The distinguishing rule is the setting in which the laptop is being used. Cat_2 images depict casual or home settings, while cat_1 images depict formal or professional settings.\n\nTest Image: The test image shows a woman using a laptop in a casual setting.\n\nConclusion: cat_2']
97 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The cat_2 images depict people using laptops in various settings, including work, home, and educational environments. The cat_1 images show people interacting with laptops in a more casual or unconventional manner, such as repairing a laptop or using it in a relaxed setting.\n\nRule: The distinguishing rule is that cat_2 images show people using laptops in typical, everyday settings, while cat_1 images show people interacting with laptops in unconventional or non-standard ways.\n\nTest Image: The test image shows a person using a laptop in a typical setting, likely working or studying.\n\nConclusion: cat_2']
98 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images depict people kissing, while the cat_1 images show various scenes that do not involve kissing, such as family gatherings, people at a zoo, a classroom setting, and a motorcycle scene.\n\nRule: The distinguishing rule is that cat_2 images feature people kissing, whereas cat_1 images do not.\n\nTest Image: The test image shows a man kissing a woman on the cheek.\n\nConclusion: cat_2']
99 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The cat_2 images depict couples engaging in intimate actions such as kissing, while the cat_1 images show various scenes involving groups of people, animals, or individuals in different settings without intimate interactions.\n\nRule: The distinguishing rule is the presence of intimate actions between couples.\n\nTest Image: The test image shows a couple embracing each other.\n\nConclusion: cat_2']
100 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images depict motorcycle racing or high-speed riding scenarios, often with multiple riders, racing gear, and dynamic action. The cat_1 images show more casual or everyday motorcycle use, such as a person at a gas station, a motorcycle accident, or a group posing with bikes.\n\nRule: Cat_2 images feature high-speed motorcycle racing or dynamic riding, while cat_1 images show casual or non-racing motorcycle scenarios.\n\nTest Image: The test image shows a person riding a motorcycle in a desert-like environment, wearing protective gear and riding a sporty bike.\n\nConclusion: cat_2']
101 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The cat_2 images depict motorcycle racing or stunts, often with riders in full gear and dynamic action. The cat_1 images show more casual or everyday motorcycle use, such as riding on the street, at a gas station, or parked.\n\nRule: Cat_2 images feature motorcycles in a racing or stunt context, while cat_1 images show casual or everyday motorcycle use.\n\nTest Image: The test image shows a person riding a motorcycle in a casual setting, likely on a street or in a relaxed environment.\n\nConclusion: cat_1']
102 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images show people interacting affectionately with dogs, such as kissing or holding them close. The cat_1 images depict people performing tasks with dogs, like washing or walking them, or the dogs being in a more passive role.\n\nRule: The distinguishing rule is whether the interaction is affectionate (cat_2) or task-oriented (cat_1).\n\nTest Image: The test image shows a person affectionately kissing a dog.\n\nConclusion: cat_2']
