experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images show people walking dogs outdoors, while the `cat_1` images show people holding or interacting with dogs indoors or in close-up settings.\n\nRule: The distinguishing rule is whether the scene is outdoors with people walking dogs (`cat_2`) or indoors or close-up interactions with dogs (`cat_1`).\n\nTest Image: The test image shows a dog sitting on a paved path outdoors.\n\nConclusion: cat_2']
70 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images show people actively cleaning or maintaining a toilet, while the `cat_1` images show people sitting on or near a toilet in a more relaxed or casual manner.\n\nRule: The distinguishing rule is whether the individuals are actively engaged in cleaning or maintaining the toilet.\n\nTest Image: The test image shows a person cleaning a toilet with a sponge and wearing gloves.\n\nConclusion: cat_2']
71 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The `cat_2` images show people interacting with or cleaning a toilet, while the `cat_1` images show toilets without any people or cleaning activities.\n\nRule: The distinguishing rule is the presence of people interacting with or cleaning the toilet in `cat_2`, whereas `cat_1` shows toilets without any such interaction.\n\nTest Image: The test image shows a toilet with a yellow substance in the bowl, but no people or cleaning activities are visible.\n\nConclusion: cat_1']
72 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The images in cat_2 depict motorcycles in motion, either racing, performing stunts, or being ridden on a track or road. The images in cat_1 show motorcycles that are stationary or being prepared for use, such as being washed or positioned for a race start.\n\nRule: The distinguishing rule is whether the motorcycles are in motion or stationary.\n\nTest Image: The test image shows a motorcycle in motion, likely on a track.\n\nConclusion: cat_2']
73 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The images in cat_2 depict motorcycles in motion, either racing, performing stunts, or being ridden on a track or road. The images in cat_1 show motorcycles that are stationary or being washed, with no indication of motion or active riding.\n\nRule: The distinguishing rule is whether the motorcycles are in motion or stationary.\n\nTest Image: The test image shows a motorcyclist performing a wheelie on a road, indicating motion.\n\nConclusion: cat_2']
74 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The images in `cat_2` show people performing skateboarding tricks or actions, while the images in `cat_1` show people holding skateboards or snowboards without performing tricks.\n\nRule: The distinguishing rule is whether the person is actively performing a skateboarding trick or not.\n\nTest Image: The test image shows a person performing a skateboarding trick on a ramp.\n\nConclusion: cat_2']
75 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The images in `cat_2` show people performing skateboarding tricks or holding skateboards, while the images in `cat_1` show people holding snowboards or not engaged in skateboarding activities.\n\nRule: The distinguishing rule is whether the person is engaged in skateboarding or holding a skateboard.\n\nTest Image: The test image shows a person sitting on the ground with a skateboard.\n\nConclusion: cat_2']
76 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images show people using laptops in various settings, such as cafes, homes, and outdoor environments. The `cat_1` images show laptops in different contexts, such as being repaired, displayed, or used in a more isolated or technical setting.\n\nRule: The distinguishing rule is that `cat_2` images depict people actively using laptops in everyday or social settings, while `cat_1` images show laptops in technical, repair, or isolated contexts.\n\nTest Image: The test image shows two people using laptops at a table in a home setting.\n\nConclusion: cat_2']
77 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The `cat_2` images show people using laptops in various settings, such as cafes, homes, and classrooms. The `cat_1` images show laptops being repaired or disassembled, or a person holding a small laptop.\n\nRule: The distinguishing rule is whether the image depicts the use of a laptop in a typical setting (cat_2) or shows a laptop being repaired, disassembled, or held in an unusual manner (cat_1).\n\nTest Image: The test image shows a person holding a small green laptop.\n\nConclusion: cat_1']
78 | expected:'cat_2' | got='cat_1' | full: ['Analysis: The `cat_2` images feature motorcycles in various settings, including racing, stunts, and casual riding. The `cat_1` images depict crowded scenes with many motorcycles and riders, often in urban or busy environments.\n\nRule: The distinguishing rule is that `cat_2` images show individual motorcycles or small groups in focus, while `cat_1` images show large crowds of motorcycles and riders.\n\nTest Image: The test image shows a large group of motorcycles and riders in a crowded urban setting.\n\nConclusion: cat_1']
79 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The images in `cat_2` depict motorcycles in motion, either racing, performing stunts, or being ridden on roads. The images in `cat_1` show motorcycles stationary or in a setting that does not involve motion, such as parked or with people posing next to them.\n\nRule: The distinguishing rule is whether the motorcycle is in motion or not.\n\nTest Image: The test image shows a person on a scooter, which appears to be stationary.\n\nConclusion: cat_1']
80 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images depict people engaged in sports activities, such as playing tennis, soccer, basketball, and frisbee. The `cat_1` images show people in various non-sporting activities, such as socializing, holding a baby, and having a conversation.\n\nRule: The distinguishing rule is whether the image shows people engaged in sports activities.\n\nTest Image: The test image shows a person playing tennis.\n\nConclusion: cat_2']
81 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The `cat_2` images depict people engaged in sports activities, such as playing tennis, soccer, basketball, and frisbee. The `cat_1` images show people in various non-sporting contexts, such as a casual gathering, a family scene, and a person holding a soccer ball without playing.\n\nRule: The distinguishing rule is whether the image shows people actively participating in a sport.\n\nTest Image: The test image shows a person playing tennis, actively engaged in the sport.\n\nConclusion: cat_2']
82 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The images in `cat_2` depict people playing soccer, while the images in `cat_1` show people in various other settings, such as sitting, walking, or posing with a football.\n\nRule: The distinguishing rule is that `cat_2` images show people actively playing soccer, while `cat_1` images do not.\n\nTest Image: The test image shows a person playing soccer.\n\nConclusion: cat_2']
83 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The images in cat_2 are all related to soccer, showing players in action on a soccer field. The images in cat_1 are not related to soccer; they include scenes of people in suits, a man holding a football, and a black-and-white image of people jumping.\n\nRule: The distinguishing rule is that cat_2 images depict soccer-related activities, while cat_1 images do not.\n\nTest Image: The test image shows a man in a suit holding a football.\n\nConclusion: cat_1']
84 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images depict people watching television or using a remote control, often in a home setting. The `cat_1` images show people in a more formal or public setting, such as a meeting or a classroom.\n\nRule: The distinguishing rule is whether the image shows people in a casual, home-like environment watching TV or using a remote control (`cat_2`), or in a formal/public setting (`cat_1`).\n\nTest Image: The test image shows a family sitting on the floor, watching TV, with a remote control visible.\n\nConclusion: cat_2']
85 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The `cat_2` images depict people watching television or using electronic devices, often in a relaxed or domestic setting. The `cat_1` images show people in more formal or public settings, such as meetings or gatherings, and do not focus on television or electronic device usage.\n\nRule: The distinguishing rule is whether the image shows people watching television or using electronic devices in a relaxed setting (`cat_2`) versus people in formal or public settings not focused on television or electronic device usage (`cat_1`).\n\nTest Image: The test image shows people sitting and watching a television screen displaying a debate.\n\nConclusion: cat_2']
86 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images all involve cleaning or maintaining a keyboard, while the `cat_1` images involve people holding or using keyboards in a different context, such as playing music or posing.\n\nRule: The distinguishing rule is whether the image depicts cleaning or maintenance of a keyboard.\n\nTest Image: The test image shows a hand using a green cleaning tool on a keyboard.\n\nConclusion: cat_2']
